LOWpdb	SD	HYDRO	MW	PI
1Q9K_1	0.659540461160634	-0.684615384615385	1687	5.85692307692308
3U7W_1	0.675157575492195	-0.923076923076923	1642	6.64692307692308
3NCY_1	0.230825109223413	-1.56153846153846	1724	6.23230769230769
1FJ1_1	0.281219902411792	-0.315384615384615	1616	5.79461538461538
3TT1_1	0.100624123389972	-0.815384615384615	1740	5.93153846153846
4ZS6_1	0.422140627048022	-0.0923076923076923	1642	5.90461538461538
3O0R_1	0.39940665179263	-1.24615384615385	1796	5.91076923076923
4AT6_3	0.559410861609708	-1.35384615384615	1717	5.76692307692308
4JHA_1	0.814346595621299	-0.692307692307692	1646	6.24615384615385
3B2U_1	0.838061235444558	-0.892307692307692	1714	5.83615384615385
3U2S_1	0.249518256914532	-0.1	1535	6.20461538461538
3J8Z_1	0.00157282304577803	-0.569230769230769	1749	6.16692307692308
4XXD_1	0.383841602458618	-0.7	1635	5.9
1UA6_1	0.858780478644283	-0.730769230769231	1768	5.89923076923077
4JZJ_1	0.245250794666399	-1.54615384615385	1739	6.17307692307692
1GPO_1	0.29030622455004	-0.415384615384615	1752	5.88538461538462
4HIE_1	0.758204338723848	-0.415384615384615	1565	5.90538461538461
4EVN_1	0.0901241204204156	-0.930769230769231	1604	6.55923076923077
3IF1_1	0.13752873340688	-0.376923076923077	1750	5.67384615384615
4QEX_1	0.109995409561032	-0.876923076923077	1666	6.16461538461539
1T66_1	0.227991025244418	-0.576923076923077	1766	5.64923076923077
3CFD_1	0.225727643347022	-0.130769230769231	1666	5.57615384615385
4NKM_1	0.423377532565892	-0.823076923076923	1608	5.86
3J7E_1	0.00320524636338497	-0.569230769230769	1749	6.16692307692308
5CWS_1	0.190356681029324	-0.446153846153846	1595	5.88307692307692
4G6K_1	0.193008331458776	0.253846153846154	1578	5.80615384615385
1NMC_1	0.000297691954881581	-0.776923076923077	1750	5.84307692307692
1BFO_1	0.243785502027226	-0.576923076923077	1698	5.82230769230769
2V7N_1	0.704070715006668	-0.246153846153846	1579	5.90769230769231
5CSZ_1	0.646648444288316	-0.246153846153846	1579	5.90769230769231
1A3L_1	0.262747390047932	-0.861538461538462	1796	6.11384615384615
4J8R_1	0.818467613942055	-0.107692307692308	1673	6.14538461538461
3LRS_3	0.127390236378226	0.0153846153846154	1535	6.16615384615385
1AHW_1	0.325886309320188	-1.75384615384615	1945	5.69846153846154
